"patient1tumor1"	"patient1tumor2"	"patient1tumor4"	"patient2tumor1"	"patient2tumor2"	"patient3tumor1"	"patient3tumor2"	"patient3tumor3"	"patient3tumor4"	"patient4tumor1"	"patient4tumor4"	"patient4tumor9"	"patient4tumor10"	"patient5tumor5"	"patient5tumor8"	"patient6tumor4"	"patient6tumor5"	"patient6tumor6"	"patient6tumor7"	"patient8tumor1"	"patient8tumor4"	"patient8tumor5"	"patient8tumor6"	"patient9tumor1"	"patient9tumor6"	"patient10tumor1"	"patient10tumor2"	"patient10tumor3"	"patient11tumor3"	"patient13tumor1"	"patient13tumor3"	"patient11tumor14"	"patient11tumor1"
"HALLMARK_NOTCH_SIGNALING"	0.544599457191544	0.533784638157086	0.461060520877858	0.470110231719386	0.480172585833348	0.553422138977073	0.564896661404662	0.516865071378693	0.527287207324057	0.473442803326369	0.499138474369861	0.475876865539263	0.509533429731295	0.532960142219729	0.554947141240193	0.483963259107861	0.559504295119427	0.515307464033784	0.511654195206578	0.590263951766117	0.561825294109437	0.503599253792288	0.484754739624842	0.498691731405546	0.494946489288013	0.509843084493771	0.581130663081322	0.491545378217894	0.461626005903882	0.528462622906894	0.52872398604545	0.519227772481679	0.49351836007067
"HALLMARK_ADIPOGENESIS"	0.541413852437955	0.554672773663735	0.497274249135771	0.544033294320854	0.566111575879147	0.554100295160152	0.544232596040013	0.491175058883263	0.603985575948091	0.572300814614977	0.514775556831415	0.491955708676384	0.585805392457967	0.620122276651028	0.60932496552633	0.626431917587455	0.535895589579341	0.621181970423471	0.647179413207466	0.562031881458323	0.621345076687042	0.772749085894552	0.562089441407027	0.581254776410241	0.559194657244469	0.539615675612453	0.538490951478384	0.575600737198194	0.544093107063325	0.555199073334597	0.613717756640155	0.6067777825453	0.559343259865381
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	0.260981797422278	0.252983136318192	0.270568852861722	0.327995113642152	0.368323805153858	0.341414494773274	0.249149065805617	0.20389612910209	0.375325234213402	0.355840731296825	0.249944296979386	0.186661965034495	0.264645802802638	0.415258167251875	0.433843711695911	0.354843834901814	0.246698676170954	0.378169936959772	0.448230794750495	0.288546045810657	0.417214598372918	0.340845750964935	0.408118402082103	0.361350421884119	0.353450976412739	0.345661777398481	0.250936341011066	0.410283269594003	0.40011323913845	0.303928948281455	0.405897328154579	0.313732101447233	0.335407921368324
"HALLMARK_ESTROGEN_RESPONSE_LATE"	0.255641013666464	0.258007837391272	0.314030130283542	0.388696047376414	0.435271656168295	0.386170943837385	0.247472582884604	0.194050209660728	0.417307350340535	0.44467672805188	0.28715955762375	0.188375495091518	0.287330214477843	0.465934642921151	0.474820336929958	0.433165245998896	0.246471411874057	0.434973279566898	0.50039959796139	0.288016149669362	0.454177407063636	0.359107936739822	0.446399792318148	0.403254384019348	0.406538590966898	0.389383768696062	0.242951553504352	0.459627444963137	0.452978049938407	0.352969016411674	0.460212892594211	0.341533447251396	0.397511254747785
"HALLMARK_ANDROGEN_RESPONSE"	0.511994462790104	0.502074367906843	0.486571051536744	0.466986994707583	0.48804812997729	0.476877977711211	0.494532744223424	0.448810893244353	0.525120307290836	0.458369403834793	0.445828739870129	0.441564066267321	0.48976573901684	0.540041056813787	0.527295525069624	0.511499984743534	0.503669432381511	0.495015123001267	0.535708148038744	0.520369022186986	0.530328686915465	0.504961943313794	0.505567135941576	0.477707243459723	0.494267849445689	0.468017738141054	0.471017561828577	0.46823678531396	0.473281852080751	0.46440581900053	0.52563488992685	0.513547818662057	0.466910632963842
"HALLMARK_MYOGENESIS"	0.344692663406383	0.341462419264884	0.311242781770689	0.320585809719744	0.334087310349994	0.345801035800751	0.32149317256329	0.337208287456494	0.334193144577696	0.313580204234756	0.334739484414319	0.322392631007234	0.348018309665197	0.324633785848153	0.339775272995754	0.314252721613679	0.331417469994605	0.344121548258011	0.356118620492025	0.344894882465554	0.369741737356696	0.394151199731477	0.284201100875634	0.334693639146277	0.315122746693273	0.361114757919152	0.346995753925376	0.332396008175021	0.276833432577091	0.362090344795998	0.340942748611865	0.359619819374683	0.34364992442124
"HALLMARK_PROTEIN_SECRETION"	0.620019308297534	0.613317156276974	0.607319449202539	0.564113700977614	0.560994935684578	0.584764172903508	0.619075670557698	0.600004449541408	0.607382269646736	0.557561401279336	0.595328371959947	0.608600921494615	0.618577844132601	0.609023810358597	0.569078110717472	0.577713348825707	0.635169367723654	0.551330205173776	0.585607166758809	0.625576833681899	0.581221890763112	0.60671769469401	0.611174413959055	0.587918971675236	0.607900004082478	0.574262339655369	0.589860685320037	0.568136594898046	0.589216298371909	0.5832532072682	0.603687800084982	0.596003063904906	0.558086037034672
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	0.485240648967559	0.50012278193343	0.4442015521536	0.555481814536153	0.529400922013413	0.517274961735087	0.58772206287436	0.490239497613694	0.480251025832632	0.440868820851871	0.452136207320636	0.425887869862438	0.484887546359748	0.440644299427085	0.436188887881937	0.493256752254443	0.48343915896868	0.466191855692607	0.430919104628871	0.497592654551433	0.466183910671484	0.484954210600784	0.391825991988615	0.506628695876992	0.447253820557211	0.423420151005857	0.49466291022038	0.419342419783102	0.459913207043379	0.499944591449291	0.453338165132076	0.542427250335512	0.491049412607761
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	0.411237431861314	0.434173454049132	0.385679225271865	0.492157645952076	0.468572495669472	0.435627900005812	0.510699348273591	0.399404545946821	0.405785627095601	0.381929025793768	0.346651613434671	0.338768835803117	0.40462004967492	0.387943313296751	0.388399510626678	0.443923348014671	0.416430086902672	0.41837400292204	0.393873488581724	0.420763454113909	0.404595088714678	0.402258031611806	0.354843089038577	0.440334243083952	0.392811661646486	0.372460137854951	0.417053318624365	0.360564643224517	0.405657807669472	0.418451760572386	0.401770621044409	0.48534750519253	0.445003972017344
"HALLMARK_APICAL_JUNCTION"	0.396236987000163	0.389645031648708	0.378172500018147	0.421955193411268	0.434354819855207	0.44686579878412	0.391134282119821	0.353611044617355	0.425516721850411	0.405308024717112	0.395737905642759	0.334645610344211	0.358019806153286	0.434565500041924	0.454766067765069	0.425861264653504	0.383759264489739	0.437362605548627	0.461828555928335	0.403593721991802	0.468253754454703	0.39708296573747	0.397428628480924	0.448951621736983	0.408671599073154	0.41562539126709	0.392579550880494	0.405388740418104	0.392037196642408	0.421740798677119	0.451681972755666	0.432426091032286	0.433345537436126
"HALLMARK_APICAL_SURFACE"	0.199413797879742	0.194875131137849	0.200299296367505	0.243947954328617	0.252922683112163	0.26099927404257	0.209250765421745	0.152347257880215	0.218005179366528	0.276768212798194	0.214271984104015	0.146688325587633	0.178633476816571	0.266218470110179	0.292921314953092	0.267969464962105	0.186683364650859	0.281124598134345	0.289970206823457	0.212276632563914	0.307537605801813	0.256507331118391	0.228139781632632	0.264984932338794	0.221399447900213	0.213541007365406	0.197465086451864	0.273444929703696	0.248018263435571	0.274576959909638	0.27054428519437	0.257225320301072	0.262220112016179
"HALLMARK_HEDGEHOG_SIGNALING"	0.311963469933452	0.281263988459057	0.240621915237179	0.209603973103045	0.225971400145737	0.290519961722152	0.261320325502208	0.308683348248017	0.217075085175302	0.191179269577973	0.311294401693655	0.306016471288959	0.278719301024316	0.219632528748202	0.249309800656989	0.218178118018865	0.316974321742747	0.235961662277568	0.216526319979165	0.287840422546664	0.256525496583322	0.256188235037089	0.175032179798004	0.236201109320781	0.209352902431028	0.197597722705145	0.277430378612276	0.169317787927633	0.153685272439613	0.307514811159763	0.230528929689074	0.294479985457268	0.216512846764942
"HALLMARK_COMPLEMENT"	0.310731650493639	0.332615227170182	0.314577259919357	0.371631423448954	0.369907000876123	0.347451307989681	0.373265908266487	0.274859493515924	0.332266847219119	0.353899071551027	0.273878646159155	0.251381848433226	0.326119518909634	0.363142094253711	0.365470578131212	0.392984445684828	0.327443876222136	0.364577267733532	0.368459681982102	0.327250377221296	0.352347362830365	0.325661217332382	0.325671258174896	0.356213161357293	0.332301734786593	0.327045143500169	0.311822866317076	0.317851063614076	0.336326942311892	0.344454147556341	0.364797779224607	0.368300121953417	0.343622793715541
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	0.555093861570707	0.561670957900919	0.548536672106552	0.57912449322429	0.595495824741427	0.571566211691002	0.560915904319134	0.518461922834622	0.563454496586787	0.576721757851255	0.544211820506034	0.531455846630942	0.582848338345321	0.585093139692803	0.568752067928638	0.594431266591275	0.583313648225907	0.578981198440194	0.58400757633331	0.568476921519073	0.561548161810247	0.553133582945738	0.600433531775255	0.574478234459613	0.570015314160582	0.546598407025312	0.535920841488704	0.577297008269397	0.596068019033081	0.568733043419288	0.574065106042903	0.575216920224253	0.576786089394131
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	0.425568464861934	0.433911776145549	0.452338298433309	0.474907146435959	0.479441254822239	0.46119439887916	0.443702804163773	0.416303084053174	0.463886832893882	0.474772733741651	0.430022499412333	0.415243232528033	0.436201773828704	0.485719033475515	0.483421947541843	0.468834545133419	0.443275999214642	0.444300152470906	0.488682049479267	0.438551028353939	0.4558875079737	0.44302524730811	0.507587017204975	0.466948461397483	0.468432474928019	0.457563825841367	0.414234500102548	0.46518288234556	0.49907733301741	0.451263770336271	0.480850815024908	0.451588480200887	0.457928033094596
"HALLMARK_MTORC1_SIGNALING"	0.483959749418679	0.489769290181968	0.498105200437063	0.541389948695998	0.581072273613319	0.526493197811685	0.490991642303558	0.420895885283032	0.580706899172837	0.579466273950618	0.46311875578064	0.431853989660355	0.513875660035668	0.6152746696639	0.596459751881264	0.621479048640655	0.50846239566694	0.598816635680885	0.636382286653687	0.514184205079809	0.584100119896201	0.560492779458748	0.602994361778065	0.549592253712371	0.548183391654343	0.526592654616714	0.46147131604864	0.573318668874345	0.58590540413047	0.521865473189831	0.597134840364501	0.562690731702028	0.534176070638978
"HALLMARK_E2F_TARGETS"	0.297790820799382	0.295506299780238	0.317117001242672	0.333070359003527	0.335848129759528	0.314173402666117	0.303302424223075	0.276993765862307	0.328383515129668	0.373351052670381	0.29857909195636	0.283774571371933	0.312591924910507	0.331128593176678	0.295636603860039	0.361622722416265	0.312952418838939	0.328307651081004	0.340528082292363	0.298852451524258	0.304771816096617	0.251909667684146	0.3643395790743	0.311893601277785	0.330125347239569	0.323581689233884	0.276901635433803	0.347416329423557	0.372391048309147	0.312531533412412	0.326377567527262	0.289063754344946	0.316972155571773
"HALLMARK_MYC_TARGETS_V1"	0.738336198241689	0.748263117307302	0.742474246680202	0.761104625761107	0.768149338925177	0.75498471008892	0.744395411107645	0.705167523062404	0.76158031711727	0.779051939059474	0.723327685525562	0.716830889862618	0.769926466224938	0.769546654013872	0.742213643979303	0.785250912014975	0.7570878888772	0.764730921683979	0.765805568294554	0.745284790611132	0.748611991607641	0.735821925837866	0.783596333592682	0.755611148831072	0.768959763457168	0.749273705539583	0.726894147486903	0.772235948573607	0.77909670492119	0.755545168293177	0.763497340454706	0.744085136826373	0.757252173629133
"HALLMARK_MYC_TARGETS_V2"	0.375288290826273	0.381839461030492	0.402155437028515	0.469432328633121	0.501424002843924	0.440381793953035	0.37065189826187	0.336416291105741	0.453825689220384	0.493334210611917	0.33633914596508	0.339021854404892	0.428744251225942	0.479552520426167	0.46723907332574	0.482007273300382	0.381099367218752	0.498404297123557	0.50155015823109	0.384964995795757	0.445295966075737	0.412682317741703	0.532095818773052	0.421746974509558	0.439782783671496	0.434729074407318	0.356680308414477	0.522478416123091	0.542306473947857	0.421857860549294	0.452198709951316	0.384225154290512	0.445314448371733
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	0.563257394771381	0.555354196563835	0.513673783475691	0.556052047069591	0.553901288778392	0.553266219038548	0.566655177307021	0.534825307112219	0.491109001547387	0.448468615053368	0.514830988217629	0.484709894836897	0.542697877722997	0.51362540734385	0.537667899272011	0.567237935548411	0.575524150009561	0.555598791745843	0.532401890931159	0.560013172092905	0.559569206913739	0.507640488702517	0.447444309971236	0.569358689176947	0.484716320438038	0.486517669743485	0.53916782035942	0.453265162908417	0.424156285883556	0.57509652778369	0.54712498828953	0.623169227787942	0.579990545312106
"HALLMARK_INFLAMMATORY_RESPONSE"	0.154459861213826	0.177855473714902	0.157789080450507	0.221871072906716	0.21780908082446	0.178798229613729	0.235490399480859	0.12931952589188	0.147727370805142	0.156716787387312	0.0823086015666135	0.0804744694086585	0.140447446684406	0.169825180451289	0.189309672590999	0.226729102380588	0.177820278887451	0.182614126537419	0.192520546382362	0.179016153998137	0.169748436040625	0.0993949097705956	0.15582172889815	0.190950995576125	0.149630885646751	0.162704295322282	0.164565279335726	0.143011020491216	0.186098516780126	0.174286416692099	0.189498899121531	0.230014970087877	0.200641359643123
"HALLMARK_XENOBIOTIC_METABOLISM"	0.268902037593307	0.292914699383842	0.249439342694218	0.310277879817666	0.328033980256749	0.316943869342902	0.286932237972906	0.233162316152871	0.334688670722013	0.330329918282157	0.243050744359757	0.221650781198021	0.312199736487942	0.381922271245801	0.380421590943887	0.376950965635457	0.272482146678629	0.367941971176926	0.398116923228791	0.290851238791209	0.357983274362455	0.389466599824349	0.325428380460343	0.345319018688261	0.317473719672335	0.297405570761059	0.262961234127704	0.332270421135505	0.328976474568656	0.30815537498526	0.359001946676861	0.33515736195632	0.31109508407707
"HALLMARK_FATTY_ACID_METABOLISM"	0.453381147419699	0.467567039338975	0.422115469957634	0.454527741646104	0.489928673035452	0.473589814532744	0.464178121960465	0.420288851355586	0.54977941686787	0.514092298091551	0.435339622210771	0.433157746164029	0.505506431110475	0.555265959716766	0.534293371629168	0.571456089914296	0.464899220815975	0.570853011912009	0.588201565388672	0.490113260926048	0.546711631357171	0.635039644371516	0.477878288465761	0.488784960324597	0.48554798577425	0.464981086281608	0.458527206579897	0.496351048254132	0.462078490782383	0.478905659238628	0.553998064068125	0.529089701114625	0.465906858741096
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	0.699916902291097	0.720224528909796	0.67591026631448	0.712812937788094	0.72387749076905	0.710944326037275	0.714473619014012	0.656153109813903	0.746176906220334	0.742782831865344	0.684352384158928	0.682914652051998	0.769460496276931	0.764349862763776	0.741949171770923	0.778219356076666	0.716114764010152	0.761565825766174	0.770597177476783	0.726095240946162	0.74878548863052	0.822343250758747	0.726320254042202	0.729325975787186	0.732792492613974	0.70807382047186	0.694687369529409	0.751364145309422	0.725203859489103	0.725343510767352	0.747485817094004	0.730812548267453	0.718930417337007
"HALLMARK_GLYCOLYSIS"	0.347351189749654	0.349537741112582	0.340613948768387	0.359295757959694	0.383257841074254	0.370282411459845	0.340729125953097	0.298687469219104	0.371367520012805	0.390030672385603	0.343998516803686	0.323751238345874	0.377049273003297	0.40447463841083	0.415522096812918	0.430391571194589	0.360010612403385	0.409247638567979	0.428748576537736	0.355914847289464	0.402599866320754	0.424060782544256	0.381683396941339	0.379975318194737	0.364279289589147	0.340260556604596	0.32379966120272	0.393103573946768	0.38069016516076	0.373730958698619	0.391410950968727	0.375417429326832	0.368546086581577
"HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY"	0.557250084798789	0.578360881107664	0.53396426585773	0.608849052813496	0.639790425052719	0.595120886266515	0.592048467121847	0.515697345269762	0.62032247103395	0.61607837717866	0.54924585260649	0.528490909522963	0.619471728998067	0.636954076190641	0.64064096238256	0.667191323438172	0.570338097215957	0.65261843072161	0.672566908433872	0.59114395647302	0.636079488897653	0.665113578356118	0.61862151615938	0.62178947289235	0.590589378469809	0.580552449635903	0.566853679750572	0.633392416498521	0.599086639646981	0.590067615241525	0.63057404516565	0.634835434021065	0.604408812054613
"HALLMARK_P53_PATHWAY"	0.456342475617709	0.463818101716785	0.487583107908635	0.548677663017162	0.566237410543376	0.525757559353331	0.455842420220276	0.417240832304505	0.541851379940209	0.55702362056487	0.480784752159751	0.414447826149843	0.472487966019569	0.554937329604413	0.553450878603056	0.546478380067814	0.441636250868831	0.54611374894891	0.565648175390622	0.465721101994283	0.53746230576188	0.459989785285259	0.562823586511569	0.537007105581115	0.525950500493373	0.544516312094101	0.445057702181569	0.56845656811947	0.563649967456849	0.494477718210946	0.551654814212553	0.528788009684824	0.544189901396026
"HALLMARK_UV_RESPONSE_UP"	0.375028818541839	0.376544478961736	0.379097010178113	0.442443926629182	0.468804652569734	0.435344649799024	0.404208469586533	0.359484057183404	0.440286719834895	0.44875860490586	0.414177423552767	0.369626831632156	0.429498544310921	0.456362546841974	0.461821818898261	0.472748830911099	0.404794547065069	0.457399872321641	0.469175815932794	0.410390572293318	0.44758517972278	0.435325737292271	0.450919188313302	0.431863823560249	0.425960847351882	0.435513404007621	0.387655210781567	0.452880774796478	0.453376566046373	0.420703707739574	0.45438148016226	0.446405595277417	0.440802033975174
"HALLMARK_UV_RESPONSE_DN"	0.491859011693064	0.486665542110343	0.44850250825445	0.415785533925499	0.413932772612375	0.454257315218728	0.484810422504792	0.490394986517345	0.447008596683404	0.384172516239932	0.453720061890924	0.470537873029779	0.477753350396273	0.449022202569512	0.44102388131431	0.434928549778498	0.52339051915779	0.441660289572644	0.439874925899769	0.501646397766207	0.443315002790207	0.458647242503397	0.413854938968736	0.447827770876054	0.419267402881017	0.417240995564928	0.479144456572252	0.366646484901942	0.388400184716143	0.462419516600826	0.456396084274689	0.498401420353384	0.435841682939303
"HALLMARK_ANGIOGENESIS"	0.436645091252873	0.449375336827912	0.400566588311244	0.461513058431717	0.452386443850369	0.456989944629156	0.444017972097826	0.404249605399161	0.418952255399889	0.352045531593685	0.429186580245844	0.368681859508922	0.439402194454191	0.433005385726077	0.434379124345205	0.451475480547363	0.454797111240087	0.455735997439505	0.418650090446319	0.432577174926238	0.448499390188164	0.445146140892953	0.344130899994465	0.452899504106205	0.399057470047544	0.385714394205865	0.438912801895106	0.334002448008291	0.333010447856684	0.448594826713304	0.430084052526953	0.480026666368596	0.438211274446261
"HALLMARK_HEME_METABOLISM"	0.346760310563252	0.347577463828881	0.341443565114322	0.358410954353079	0.367374526182263	0.373093357223537	0.346952112496187	0.338300552139705	0.377437454852466	0.367217635923532	0.341610552373062	0.328585750425292	0.354617595117398	0.395352660336116	0.398319697390813	0.368758915745387	0.348234694391396	0.360673685186357	0.402759252487002	0.354592875889408	0.378341202201442	0.38753531649887	0.395206442092718	0.378178449629741	0.366871018501052	0.367992156691246	0.335831792107562	0.37904902254329	0.391450072981868	0.353410792832502	0.390685127224334	0.367022388834981	0.36881946697444
"HALLMARK_COAGULATION"	0.300757247822405	0.314922744524239	0.285765759117678	0.355229192227769	0.359681814598006	0.326385599136056	0.32981730829316	0.278948869612913	0.297373438046998	0.292313907059554	0.267024270300869	0.238407293238981	0.313993285327622	0.328887516645087	0.344988280610027	0.362065578428223	0.309289491327184	0.336274701327321	0.339010430002693	0.314456907504013	0.351921721049518	0.324756160694594	0.287773811425538	0.356706314028523	0.307871407549164	0.302962470004986	0.300644869636559	0.315844500350171	0.282970147756752	0.338755337031189	0.341028136443235	0.36170421926143	0.350346078821646
"HALLMARK_IL2_STAT5_SIGNALING"	0.321193579518315	0.337808744238588	0.316660578637738	0.371754585889362	0.376680879466452	0.349603645396065	0.360204882466245	0.294475502495714	0.325653170377579	0.337070412055765	0.282287626967835	0.273335954211854	0.323269129557481	0.348138759522642	0.369710307052926	0.378581829440419	0.340233296221538	0.357041892431913	0.367331890446356	0.336061770939059	0.365530811199399	0.323098366160257	0.324417301041375	0.363534090432812	0.31719274635805	0.320178043879517	0.322072896558969	0.314365924484012	0.327860252376856	0.337242636700287	0.358626609709631	0.374556112708374	0.36069192249615
"HALLMARK_BILE_ACID_METABOLISM"	0.170253152045711	0.182540985382385	0.169960779744359	0.170864832513598	0.201060369732529	0.199015863126843	0.170165018386214	0.154397613437744	0.285746845904341	0.223496471805774	0.182976555759947	0.168286849250709	0.205597629061478	0.291310182389947	0.284073756446441	0.250212582022373	0.176486997275484	0.263531545605093	0.308827957642518	0.218552866616675	0.263356108887833	0.282305490757981	0.243685043165362	0.205182059183172	0.210504727293195	0.199874639153909	0.191401585673513	0.206863164080552	0.208997513241619	0.188648404005887	0.283229925829305	0.234916905289221	0.191714893514733
"HALLMARK_PEROXISOME"	0.410474664773729	0.409390661924148	0.39799849698099	0.419010528905366	0.447144123531908	0.439961881143118	0.406830914018672	0.376832891098117	0.500278064192865	0.448500959704529	0.407391173579764	0.389840639799298	0.430891814347952	0.498061540385409	0.48342196199801	0.487352298559553	0.419598060800522	0.491225714444592	0.516600446891858	0.439837847502289	0.482107214484941	0.48908487033752	0.455274959780162	0.435563836982817	0.439190969436716	0.432994599787596	0.408105918826521	0.440260046256255	0.427275848236208	0.42979476523835	0.493054923215858	0.475726124870791	0.428700798259323
"HALLMARK_ALLOGRAFT_REJECTION"	0.221692882690919	0.258229599555312	0.215856287548132	0.338037242786051	0.316291114580993	0.265989806145154	0.339405270109648	0.172787628645717	0.212756599800348	0.274919271867224	0.142764227835923	0.127941142417922	0.203627242954118	0.243088511046051	0.265068868820188	0.332340515764259	0.243564378768768	0.278556943701386	0.279347476868537	0.242876673053556	0.269096961479332	0.184179720026907	0.211233921400305	0.301908600305632	0.246732481766516	0.23481539425519	0.245641595258219	0.223143573026167	0.256661033748602	0.245277186915299	0.256091704868334	0.312615198129294	0.300205757590779
